Horse_ID,Horse_Name,Country,Age,URL,URL_Country,URL_bn,Foal_Date,success_flag
7038,KING OF WIN,NZ,,https://www.racenet.com.au/profiles/horse/king-of-win,https://www.racenet.com.au/profiles/horse/king-of-win-nz,https://www.breednet.com.au/horse/king-of-win,,0
7039,DANSKE VERY MUCH,NZ,,https://www.racenet.com.au/profiles/horse/danske-very-much,https://www.racenet.com.au/profiles/horse/danske-very-much-nz,https://www.breednet.com.au/horse/danske-very-much,,0
7040,ONE EYE JACK,AUS,,https://www.racenet.com.au/profiles/horse/one-eye-jack,https://www.racenet.com.au/profiles/horse/one-eye-jack-aus,https://www.breednet.com.au/horse/one-eye-jack,Invalid Date,0
7041,TOURELLE LAD,AUS,,https://www.racenet.com.au/profiles/horse/tourelle-lad,https://www.racenet.com.au/profiles/horse/tourelle-lad-aus,https://www.breednet.com.au/horse/tourelle-lad,Invalid Date,0
7042,SUN AND ZAMEEN,AUS,,https://www.racenet.com.au/profiles/horse/sun-and-zameen,https://www.racenet.com.au/profiles/horse/sun-and-zameen-aus,https://www.breednet.com.au/horse/sun-and-zameen,,0
7043,SUPER WIN FORTUNE,AUS,,https://www.racenet.com.au/profiles/horse/super-win-fortune,https://www.racenet.com.au/profiles/horse/super-win-fortune-aus,https://www.breednet.com.au/horse/super-win-fortune,,0
7044,GOOD PROFIT,NZ,,https://www.racenet.com.au/profiles/horse/good-profit,https://www.racenet.com.au/profiles/horse/good-profit-nz,https://www.breednet.com.au/horse/good-profit,Invalid Date,0
7045,SYLLABUS,GB,,https://www.racenet.com.au/profiles/horse/syllabus,https://www.racenet.com.au/profiles/horse/syllabus-gb,https://www.breednet.com.au/horse/syllabus,3/11/2011,1
7046,FLUVIUS CAMILLUS,IRE,,https://www.racenet.com.au/profiles/horse/fluvius-camillus,https://www.racenet.com.au/profiles/horse/fluvius-camillus-ire,https://www.breednet.com.au/horse/fluvius-camillus,,0
7047,GOLDEN SUN,GB,,https://www.racenet.com.au/profiles/horse/golden-sun,https://www.racenet.com.au/profiles/horse/golden-sun-gb,https://www.breednet.com.au/horse/golden-sun,,0
7048,GREEN WARRIOR,ARG,,https://www.racenet.com.au/profiles/horse/green-warrior,https://www.racenet.com.au/profiles/horse/green-warrior-arg,https://www.breednet.com.au/horse/green-warrior,Invalid Date,0
7049,THE KING,ARG,,https://www.racenet.com.au/profiles/horse/the-king,https://www.racenet.com.au/profiles/horse/the-king-arg,https://www.breednet.com.au/horse/the-king,29/04/2015,1
7050,GALLANT STAR,NZ,,https://www.racenet.com.au/profiles/horse/gallant-star,https://www.racenet.com.au/profiles/horse/gallant-star-nz,https://www.breednet.com.au/horse/gallant-star,,0
7051,ZABEBE,NZ,,https://www.racenet.com.au/profiles/horse/zabebe,https://www.racenet.com.au/profiles/horse/zabebe-nz,https://www.breednet.com.au/horse/zabebe,,0
7052,JUBILOSO,NZ,,https://www.racenet.com.au/profiles/horse/jubiloso,https://www.racenet.com.au/profiles/horse/jubiloso-nz,https://www.breednet.com.au/horse/jubiloso,Invalid Date,0
7053,PLENTY OF HEART,AUS,,https://www.racenet.com.au/profiles/horse/plenty-of-heart,https://www.racenet.com.au/profiles/horse/plenty-of-heart-aus,https://www.breednet.com.au/horse/plenty-of-heart,,0
7054,FUHRWIN,AUS,,https://www.racenet.com.au/profiles/horse/fuhrwin,https://www.racenet.com.au/profiles/horse/fuhrwin-aus,https://www.breednet.com.au/horse/fuhrwin,,0
7055,CLASSIC HORSE,AUS,,https://www.racenet.com.au/profiles/horse/classic-horse,https://www.racenet.com.au/profiles/horse/classic-horse-aus,https://www.breednet.com.au/horse/classic-horse,5/8/2001,1
7056,CANNONISE,NZ,,https://www.racenet.com.au/profiles/horse/cannonise,https://www.racenet.com.au/profiles/horse/cannonise-nz,https://www.breednet.com.au/horse/cannonise,Invalid Date,0
7057,AMERICAN VICTORY,AUS,,https://www.racenet.com.au/profiles/horse/american-victory,https://www.racenet.com.au/profiles/horse/american-victory-aus,https://www.breednet.com.au/horse/american-victory,,0
7058,DANEMAN HILL,AUS,,https://www.racenet.com.au/profiles/horse/daneman-hill,https://www.racenet.com.au/profiles/horse/daneman-hill-aus,https://www.breednet.com.au/horse/daneman-hill,,0
7059,KROVANH,NZ,,https://www.racenet.com.au/profiles/horse/krovanh,https://www.racenet.com.au/profiles/horse/krovanh-nz,https://www.breednet.com.au/horse/krovanh,,0
7060,CLASSIC DELIGHT,AUS,,https://www.racenet.com.au/profiles/horse/classic-delight,https://www.racenet.com.au/profiles/horse/classic-delight-aus,https://www.breednet.com.au/horse/classic-delight,12/10/2012,1
7061,WIN AGAIN,NZ,,https://www.racenet.com.au/profiles/horse/win-again,https://www.racenet.com.au/profiles/horse/win-again-nz,https://www.breednet.com.au/horse/win-again,Invalid Date,0
7062,TRAVIANO,GER,,https://www.racenet.com.au/profiles/horse/traviano,https://www.racenet.com.au/profiles/horse/traviano-ger,https://www.breednet.com.au/horse/traviano,,0
7063,VINTAGE YEARS,NZ,,https://www.racenet.com.au/profiles/horse/vintage-years,https://www.racenet.com.au/profiles/horse/vintage-years-nz,https://www.breednet.com.au/horse/vintage-years,Invalid Date,0
7064,WISHING WELL,NZ,,https://www.racenet.com.au/profiles/horse/wishing-well,https://www.racenet.com.au/profiles/horse/wishing-well-nz,https://www.breednet.com.au/horse/wishing-well,28/10/2017,1
7065,CAPTAIN BUNNY,NZ,,https://www.racenet.com.au/profiles/horse/captain-bunny,https://www.racenet.com.au/profiles/horse/captain-bunny-nz,https://www.breednet.com.au/horse/captain-bunny,Invalid Date,0
7066,DREAMS COME TRUE,NZ,,https://www.racenet.com.au/profiles/horse/dreams-come-true,https://www.racenet.com.au/profiles/horse/dreams-come-true-nz,https://www.breednet.com.au/horse/dreams-come-true,,0
7067,GOLD STRIKER,NZ,,https://www.racenet.com.au/profiles/horse/gold-striker,https://www.racenet.com.au/profiles/horse/gold-striker-nz,https://www.breednet.com.au/horse/gold-striker,Invalid Date,0
7068,LUCKY DANSKE,NZ,,https://www.racenet.com.au/profiles/horse/lucky-danske,https://www.racenet.com.au/profiles/horse/lucky-danske-nz,https://www.breednet.com.au/horse/lucky-danske,Invalid Date,0
7069,GOLD START,NZ,,https://www.racenet.com.au/profiles/horse/gold-start,https://www.racenet.com.au/profiles/horse/gold-start-nz,https://www.breednet.com.au/horse/gold-start,,0
7070,BELGRAVE,NZ,,https://www.racenet.com.au/profiles/horse/belgrave,https://www.racenet.com.au/profiles/horse/belgrave-nz,https://www.breednet.com.au/horse/belgrave,,0
7071,STRIKE TO WIN,NZ,,https://www.racenet.com.au/profiles/horse/strike-to-win,https://www.racenet.com.au/profiles/horse/strike-to-win-nz,https://www.breednet.com.au/horse/strike-to-win,Invalid Date,0
7072,NOBLE BOSS,GB,,https://www.racenet.com.au/profiles/horse/noble-boss,https://www.racenet.com.au/profiles/horse/noble-boss-gb,https://www.breednet.com.au/horse/noble-boss,,0
