Horse_ID,Horse_Name,Horse_Code,State,Country,Age,Color,Sex,Import_type,Total_Stakes,Owner,Last_Rating,Sire,Dam,Dam_sire
70,HERCULES,C476,Active,AUS,5,Brown , Gelding,PP,"1,401,205",Lordson Syndicate,,Medaglia d'Oro,Soul Mama,Charge Forward
71,METHANE,C469,Active,NZ,5,Bay , Gelding,PPG,"1,619,140",Andrew Shuen Pak Man,,Pierro,Mapmaker,Volksraad
72,HERE COMES TED,C457,Active,NZ,4,Bay , Gelding,PPG,"2,608,915","Montgomery Ho Shun Wah, Peter P C Fan, Au Ping Lam & Dr Fu Chi Wing",,Per Incanto,Princess Annaliese,Van Nistelrooy
73,STANLEY PARK,C446,Active,AUS,6,Chestnut , Gelding,PP,"1,661,500","Clement Ma Kang Ching, Josiah Ma Pok Man & David Ma Yeuk Lai",,Duke Of Marmalade,Walk In The Park,Thorn Park
74,CANTSTOPTHEFEELING,C432,Active,NZ,5,Brown , Gelding,PP,"486,250",CMA Syndicate,,Swiss Ace,Primadonna Girl,Edenwold
75,RICH AND LUCKY,C413,Retired,GB,,Bay , Gelding,ISG,"2,863,015",Mr & Mrs Yan Qing Lin,62,Kingman,Don't Forget Faith,Victory Gallop
76,U W BROTHER,C389,Active,AUS,4,Brown , Gelding,PPG,"1,291,790",Perfect Match Syndicate,,Wandjina,Pacific Belle,Canadian Silver
77,WILD WEST WING,C381,Active,AUS,4,Bay , Gelding,PPG,"2,036,040",Terry Fok Kwong Hang,,Exceed And Excel,Thump,Red Ransom
78,MIG ENERGY,C376,Active,AUS,5,Bay , Gelding,PP,"2,180,000",Chen Ching Lung,,Redoute's Choice,Hifalutin,Peintre Celebre
79,CLASSIC UNICORN,C343,Active,NZ,5,Chestnut , Gelding,PPG,"3,857,500",Li Fung Lok,,Per Incanto,Grace And Eva,Stravinsky
80,HONG KONG WIN,C333,Active,AUS,5,Chestnut , Gelding,PPG,"7,190,540",Dr Patrick Ko Tak Him,,Mossman,With Apologies,Testa Rossa
81,SHOUSON,C326,Active,AUS,5,Chestnut , Gelding,PP,"3,087,820","Vincent Li Hoi Yuen, Justin Li Cheng Yan & Vivian Li Yi Mei",,Star Witness,Fille The Joy,Royal Academy
82,BEAUTY SPARK,C318,Active,AUS,5,Brown , Gelding,PP,"2,483,250",Eleanor Kwok Law Kwai Chun,,All American,Bubbly Duchess,Duke Of Marmalade
83,STAR OF YUEN LONG,C303,Active,NZ,5,Brown , Gelding,PP,"1,911,050",Friend of Yuen Long Merchants Assn Syndicate,,Makfi,C'Mon Cuba,Thorn Park
84,BRAVERY AND POWER,C295,Active,SAF,5,Brown , Gelding,PP,"71,250",Wallace Cheung Kwong Yung,,Gimmethegreenlight,The Taj,National Assembly
85,SHADOW BREAKER,C268,Active,IRE,5,Chestnut , Horse,PPG,"1,082,145",Faithful Syndicate,,Excelebration,Kramer Drive,Medicean
86,ENSHRINED,C262,Retired,IRE,,Bay , Gelding,PP,"371,500",Vincent Wong Yin Shun,62,Foxwedge,Coachhouse Lady,Rahy
87,FOCUS,C254,Active,NZ,5,Bay , Gelding,PPG,"1,890,485",Ken Chan Chun Ning,,Per Incanto,Princess Alexandra,Towkay
88,FARM BUMPER,C244,Active,AUS,5,Bay , Gelding,PPG,"1,658,635",Chan Kin Yip,,Tycoon Ruler,Buck 'N' Jazz,Buck's Pride
89,JOYFUL UNION,C232,Active,NZ,6,Chestnut , Rig,PP,"2,587,150",Wing Tung Fat Syndicate,,Towkay,Eutrophy,Testa Rossa
90,BEAUTY APPLAUSE,C228,Active,AUS,5,Chestnut , Gelding,PPG,"7,417,200",Junbon Chan Chun Bong,,Stratum,Easy Step,Arena
91,WINNERS BROTHER,C220,Active,NZ,5,Bay , Gelding,PPG,"434,125","Jerry Tsang Kwok Hung, Carollio Chow Kin Wing, Raymond Cheng Shu Shing & The Executors of the Estate of the late Peter Leung Ching Wah",,Darci Brahma,Just A Dream,Volksraad
92,PRESIDENT STAR,C170,Active,AUS,5,Bay , Gelding,PPG,"685,240",Mr & Mrs Cheung Yat Yuen,,Dundeel,Exotic Escape,Commands
93,HEAVENLY THOUGHT,C163,Active,AUS,6,Brown , Gelding,PP,"2,982,730","Patrick Lau Tak Wai, Lau Lui Mui Mui & William Lau Man Yuen",,So You Think,God Love It,St Covet
94,REEL BIZZY,C138,Active,IRE,5,Bay , Gelding,PP,"3,773,400",David Ng Win Loong,,Kodiac,Damask,Red Clubs
95,BEAUTY AMIGO,C124,Active,IRE,6,Bay , Gelding,PP,"1,877,750",Beauty Team Syndicate,,Kodiac,Hurricane Emma,Mr Greeley
96,LOVING A BOOM,C122,Active,IRE,6,Bay , Gelding,PP,"4,376,700",Robert Ng Chee Siong,,Acclamation,Elektra Marino,Mount Nelson
97,MAGNIFICENT,C121,Active,GB,6,Bay , Gelding,PP,"5,142,800",Ting Ping Sing & Sherman Ting Wing Cheung,,Zebedee,Barathea Dancer,Barathea
98,TASHIDELEK,C084,Active,AUS,6,Brown , Gelding,PP,"3,548,900",Contented And Happy Syndicate,,Street Cry,Sesenta,Encosta de Lago
99,BLOOMING SPIRIT,C064,Retired,AUS,,Bay , Gelding,PPG,"1,773,138",Alfred Leung Woon Fun,40,Spirit Of Boom,Pheebles,Encosta de Lago
100,BRIGHT KID,C060,Active,AUS,6,Bay , Gelding,PP,"2,125,880",Chan Man Fat,,Show A Heart,Exedra,Redoute's Choice
101,SHINING GEM,C058,Active,AUS,5,Bay , Gelding,PP,"5,945,750",Liza Chen Shau Enig,,Makfi,Raneen,Perfectly Ready
102,WINNING ENDEAVOUR,C048,Retired,IRE,,Chestnut , Gelding,PP,"1,715,694",Master Henry Syndicate,63,Casamento,Nesmeh,More Than Ready
103,SHINEALOT,C046,Active,FR,6,Bay , Gelding,PPG,"873,330",HK Football Club Horse Racing Syndicate,,Siyouni,Doubrovska,Vettori
104,HINCHINLOVE,C001,Active,AUS,6,Bay , Gelding,PP,"3,539,975",Rising Profit Syndicate,,Hinchinbrook,Wildly Entertained,Forestry
105,HAPPY GOOD GUYS,B466,Active,AUS,5,Bay , Gelding,PPG,"3,181,213",Happy Guys Syndicate,,Zoustar,Sunday Chill,Flying Spur
106,ROYAL RACER,B460,Active,AUS,5,Bay , Gelding,PPG,"2,951,723",Thomas Yeung Chuen Chow,,Dreamscape,Ice Cold Crownie,Beautiful Crown
107,DIONYSUS COLLIN,B436,Active,AUS,5,Bay / Brown , Gelding,PPG,"2,725,740",Harold Syndicate,,Dream Ahead,Charlety Star,Arena
108,FLYING BONUS,B433,Active,AUS,6,Bay , Gelding,PP,"2,017,140",Mr & Mrs Edward Chan Chi Keung and Matthew Chan Chin Wah,,Snitzel,Sabanci,Encosta de Lago
109,MURRAY'S PARTNERS,B426,Active,NZ,5,Chestnut , Gelding,PPG,"3,305,878",Christopher So Chi Hang and Mr & Mrs Alan Chak Kwok Fai,,Towkay,Taatyana,Faltaat
