Trainer_ID,name,HV_races,HV_wins,HV_placed,HV_rate,ST_races,ST_wins,ST_placed,ST_rate,Total_wins,Total_second_places,Total_third_places,Total_fourth_places,Total_rides,Win_percentage
229,Y Kato,,,,0%,1,,,0%,,,,,1,0%
230,A Cummings,,,,0%,1,,,0%,,,,,1,0%
231,H Matsuda,,,,0%,2,,2,0%,,1,1,,2,0%
232,D Selvaratnam,,,,0%,1,,,0%,,,,,1,0%
233,G A Swinbank,,,,0%,1,1,,100%,1,,,,1,100%
234,J M Oxx,,,,0%,2,,2,0%,,1,1,,2,0%
235,J Pride,,,,0%,1,,,0%,,,,,1,0%
236,A Tsurudome,,,,0%,1,,,0%,,,,,1,0%
237,J Janiak,,,,0%,1,,,0%,,,,,1,0%
238,T Shirai,,,,0%,4,1,1,25%,1,1,,,4,25%
239,A and G Botti,,,,0%,1,,1,0%,,,1,,1,0%
240,J de Roualle,,,,0%,2,,,0%,,,,,2,0%
241,D Oughton,1812,177,367,9.77%,3440,259,567,7.53%,436,473,461,413,5252,8.3%
242,S Brown,,,,0%,1,,1,0%,,,1,,1,0%
243,K S Cheong,,,,0%,1,,,0%,,,,,1,0%
244,H Nagahama,,,,0%,3,1,1,33.33%,1,1,,,3,33.33%
245,C E Brittain,,,,0%,12,2,2,16.67%,2,1,1,,12,16.67%
246,Y Y Choy,,,,0%,1,,,0%,,,,,1,0%
247,L Rivelli,,,,0%,1,,,0%,,,,,1,0%
248,M Kono,,,,0%,1,,,0%,,,,,1,0%
249,V Cerin,,,,0%,2,,,0%,,,,,2,0%
250,D Hill,1590,148,312,9.31%,2986,221,437,7.4%,369,356,393,387,4576,8.06%
251,S T Wong,2064,165,360,7.99%,3096,218,419,7.04%,383,376,403,431,5160,7.42%
252,R W Smerdon,,,,0%,3,,,0%,,,,,3,0%
253,K Tabe,,,,0%,1,,,0%,,,,,1,0%
254,T Vasil,,,,0%,1,,,0%,,,,,1,0%
255,G Waterhouse,,,,0%,3,,,0%,,,,,3,0%
256,M P Thwaites,,,,0%,6,,1,0%,,,1,,6,0%
257,T Setoguchi,,,,0%,1,,,0%,,,,,1,0%
258,C Simon,,,,0%,1,,,0%,,,,,1,0%
259,J Mulhern,,,,0%,1,,,0%,,,,,1,0%
260,J M Bradley,,,,0%,2,,,0%,,,,,2,0%
261,P Makin,,,,0%,1,,,0%,,,,,1,0%
262,H Oneda,,,,0%,1,,,0%,,,,,1,0%
263,R Suerland,,,,0%,2,,,0%,,,,,2,0%
264,T McEvoy,,,,0%,2,,,0%,,,,,2,0%
265,I W Allan,1506,154,303,10.23%,3854,386,657,10.02%,540,495,465,440,5360,10.07%
266,G Lane,1504,152,328,10.11%,2894,191,392,6.6%,343,362,358,369,4398,7.8%
267,K C Lo,1451,127,253,8.75%,2654,186,356,7.01%,313,293,316,319,4105,7.62%
268,M Kent,,,,0%,1,,,0%,,,,,1,0%
269,M Rolland,,,,0%,1,,,0%,,,,,1,0%
270,B Grizzetti,,,,0%,1,,,0%,,,,,1,0%
271,M G Azzie,,,,0%,1,,1,0%,,1,,,1,0%
272,L G Cottrell,,,,0%,1,,,0%,,,,,1,0%
273,M Blanshard,,,,0%,2,,,0%,,,,,2,0%
274,K Dryden,,,,0%,1,,,0%,,,,,1,0%
275,R Hore-Lacy,,,,0%,2,,,0%,,,,,2,0%
276,K A Mulhall,,,,0%,1,,,0%,,,,,1,0%
277,C Leck,,,,0%,2,,,0%,,,,,2,0%
278,S Kitahashi,,,,0%,5,3,,60%,3,,,,5,60%
279,F Poulsen,,,,0%,2,,1,0%,,,1,,2,0%
280,L Fownes,2912,302,606,10.37%,4387,324,729,7.39%,626,624,711,717,7299,8.58%
281,B K Ng **,4,,1,0%,11,2,1,18.18%,2,,2,1,15,13.33%
282,G Woodruff,,,,0%,1,,,0%,,,,,1,0%
283,D J Bougoure,,,,0%,4,2,1,50%,2,,1,,4,50%
284,L Curtis,,,,0%,1,,,0%,,,,,1,0%
285,T A Pletcher,,,,0%,2,,,0%,,,,,2,0%
286,Y Okubo,,,,0%,2,,,0%,,,,,2,0%
287,S Matsumoto,,,,0%,1,,,0%,,,,,1,0%
288,L Riccardi,,,,0%,1,,,0%,,,,,1,0%
289,D Nicholls,,,,0%,3,,,0%,,,,,3,0%
290,D Burke II,,,,0%,1,,1,0%,,,1,,1,0%
291,J Sahadi,,,,0%,2,,,0%,,,,,2,0%
292,Y Goto,,,,0%,1,,1,0%,,,1,,1,0%
293,J C Canani,,,,0%,1,,,0%,,,,,1,0%
294,A Perrett,,,,0%,1,,,0%,,,,,1,0%
295,T P Wong,2582,250,584,9.68%,4160,339,655,8.15%,589,630,609,539,6742,8.74%
296,E B Murray,,,,0%,2,,,0%,,,,1,2,0%
297,C Head-Maarek,,,,0%,1,,,0%,,,,,1,0%
298,R L Morse,,,,0%,2,,2,0%,,2,,,2,0%
299,G A Rogerson,,,,0%,3,,,0%,,,,2,3,0%
300,J W Payne,,,,0%,1,,,0%,,,,,1,0%
301,D Vienna,,,,0%,4,,1,0%,,,1,,4,0%
302,S Ishizaka,,,,0%,1,,,0%,,,,,1,0%
303,R H Thomsen,,,,0%,4,,1,0%,,,1,,4,0%
304,B Miller,,,,0%,1,,,0%,,,,,1,0%
305,P M Busuttin,,,,0%,2,,,0%,,,,,2,0%
306,B Hutchison,1832,181,355,9.88%,2319,131,348,5.65%,312,351,352,386,4151,7.52%
307,T P Cheung,404,20,64,4.95%,1042,70,116,6.72%,90,91,89,99,1446,6.22%
308,W L Wong,400,30,66,7.5%,782,41,104,5.24%,71,82,88,88,1182,6.01%
309,C Brown,,,,0%,1,,,0%,,,,,1,0%
310,C J Wood,,,,0%,2,,,0%,,,,,2,0%
